Scope,IPCC emissions source and sink categories,Attribute,Value
Australia,Total (net emissions),2017-18,508322.5194
Australia,Total (net emissions),2018-19,496254.5559
Australia,Total (net emissions),2019-20,477710.3812
Australia,Total (net emissions),2020-21,439924.6668
Australia,Total (net emissions),2021-22,440620.8224
Australia,Total (net emissions),2022-23,453448.9113
Australia,1. Energy,2017-18,437082.1567
Australia,1. Energy,2018-19,435579.1423
Australia,1. Energy,2019-20,419264.9495
Australia,1. Energy,2020-21,404462.921
Australia,1. Energy,2021-22,397063.6008
Australia,1. Energy,2022-23,397982.9454
Australia,2.  Industrial Processes,2017-18,31750.7404
Australia,2.  Industrial Processes,2018-19,32495.99881
Australia,2.  Industrial Processes,2019-20,31856.41876
Australia,2.  Industrial Processes,2020-21,32754.21843
Australia,2.  Industrial Processes,2021-22,32885.24959
Australia,2.  Industrial Processes,2022-23,32986.55641
Australia,3.  Agriculture,2017-18,82236.72865
Australia,3.  Agriculture,2018-19,75951.24394
Australia,3.  Agriculture,2019-20,73768.76599
Australia,3.  Agriculture,2020-21,78759.44723
Australia,3.  Agriculture,2021-22,79633.67429
Australia,3.  Agriculture,2022-23,82388.41952
Australia,"4. Land Use, Land-Use Change and Forestry",2017-18,-55551.69708
Australia,"4. Land Use, Land-Use Change and Forestry",2018-19,-61027.40378
Australia,"4. Land Use, Land-Use Change and Forestry",2019-20,-60637.54174
Australia,"4. Land Use, Land-Use Change and Forestry",2020-21,-89641.84475
Australia,"4. Land Use, Land-Use Change and Forestry",2021-22,-83001.91056
Australia,"4. Land Use, Land-Use Change and Forestry",2022-23,-73701.40904
Australia,5.  Waste,2017-18,12804.59073
Australia,5.  Waste,2018-19,13255.57465
Australia,5.  Waste,2019-20,13457.78862
Australia,5.  Waste,2020-21,13589.92484
Australia,5.  Waste,2021-22,14040.20825
Australia,5.  Waste,2022-23,13792.39897
